Team,Team_Code,Stage_1,Stage_2,Stage_3,Stage_4,Stage_5,Stage_6,Stage_7,Stage_8,Stage_9,Stage_10,Stage_11,Stage_12,Stage_13,Stage_14,Stage_15,Stage_16,Stage_17,Stage_18,Stage_19,Stage_20,Stage_21
Alpecin-Deceuninck,ADC,3,3,3,10,9,10,9,11,11,16,15,17,17,16,16,16,16,16,15,16,16
Arkea-B&B Hotels,ARK,14,5,5,7,5,5,4,4,4,5,4,3,3,4,5,4,4,4,4,4,4
Bahrain Victorious,TBV,17,11,11,15,15,14,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
Cofidis,COF,12,7,7,4,8,21,19,19,19,20,19,20,20,20,20,20,20,20,19,19,19
Decathlon AG2R La Mondiale Team,DAT,21,8,8,5,4,4,5,5,5,3,5,4,4,3,4,5,5,5,5,5,5
EF Education-EasyPost,EFE,7,10,10,8,10,8,8,8,8,8,8,11,11,11,10,11,11,11,10,10,10
Groupama-FDJ,GFC,2,1,1,2,3,3,3,3,3,4,3,6,6,8,7,9,9,8,11,11,11
Ineos Grenadiers,IGD,16,12,12,13,11,11,7,7,7,7,6,8,8,6,6,6,6,7,7,6,6
Intermarche-Wanty,IWA,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
Israel-Premier Tech,IPT,5,13,13,11,14,18,20,20,20,19,20,19,19,18,18,17,17,18,18,18,18
Lidl-Trek,LTK,13,17,17,18,18,15,15,15,15,15,17,16,16,19,17,19,19,19,20,20,20
Lotto,LTD,19,23,23,23,23,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
Movistar Team,MOV,9,21,21,21,19,13,12,13,14,9,10,7,7,7,8,8,8,6,6,7,7
Red Bull-Bora-Hansgrohe,RBH,18,16,16,14,12,9,6,6,6,6,7,5,5,5,3,3,3,3,3,3,3
Soudal Quick-step,SOQ,20,18,18,19,16,19,14,14,13,11,11,13,13,12,13,12,12,14,14,14,14
Team Jayco-Alula,JAY,10,9,9,9,6,6,13,12,12,18,18,18,18,17,19,18,18,17,17,17,17
Team Picnic PostNL,TPP,11,15,15,12,13,12,10,10,10,12,14,12,12,10,11,10,10,9,9,9,9
Team Visma Lease a Bike,TVL,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TotalEnergies,TEN,15,6,6,6,7,7,11,9,9,10,9,10,10,13,12,13,13,13,13,13,13
Tudor Pro Cycling Team,TUD,1,14,14,16,17,16,17,18,18,17,16,15,15,15,15,15,15,15,16,15,15
UAE Team Emirates XRG,UAD,8,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Uno-X Mobility,UXM,6,20,20,20,21,20,18,17,17,13,12,14,14,14,14,14,14,12,12,12,12
XDS Astana Team,XAT,23,19,19,17,20,17,16,16,16,14,13,9,9,9,9,7,7,10,8,8,8
