Rank,Rider,Times
1,T. Pogacar,23:00
2,J. Vingegaard,23:36
3,P.Roglic,24:20
4,F. Lipowitz,24:56
5,L. Plapp,24:58
6,M. Jorgenson,25:03
7,O. Onley,25:06
8,A. Yates,25:15
9,L. Martinez,25:21
10,F. Gall,25:22
11,K. Vauqelin,25:35
12,R. Evenepoel,25:39
13,C. Rodriguez,25:48
14,T. Johannessen,25:52
15,H. Sweeny,25:53
16,E. Mas,25:59
17,J. Alaphilippe,26:03
18,C. Rodriguez,26:08
19,B. Armirail,26:12
20,S. Buitrago,26:15
21,S. Kuss,26:18
22,C. Champoussin,26:20
23,J. Jegat,26:21
24,R. Gregoire,26:27
25,A. Paret Peintre,26:33
26,B. Healy,26:38
27,B. O'Connor,26:40
28,E. Rubio Reyes,26:42
29,T. Arensman,27:04
30,A. Baudin,27:08
31,A. Lutsenko,27:16
32,V. Paret Peintre,27:17
33,G. Martin Guyonnet,27:22
34,S. Higuita,27:23
35,T. Foss,27:24
36,C. Berthet,27:26
37,W. Barguil,27:32
38,E. Verstrynge,27:33
39,S. Velasco,27:34
40,M. Schachmann,27:37
41,F. Wright,27:40
42,I. Izagirre,27:42
43,Q. Pacher,27:44
44,X. Meurisse,27:45
45,M. Soler,27:48
46,M. Storer,27:49
47,L. Van Eetvelt,27:49
48,N. Powless,27:50
49,T. Wellens,27:52
50,A. Vlasov,27:59
51,D. Touze,27:59
52,W. Van Aert,28:03
53,C. Venturini,28:04
54,W. Barta,28:06
55,J. Blackmore,28:07
56,H. Tejada,28:07
57,T. Gachignard,28:08
58,K. Groves,28:08
59,V. Braet,28:10
60,J. Berckmoes,28:11
61,F. Van Den Broek,28:12
62,I. Van Wilder,28:14
63,S. Yates,28:17
64,J. Rutsch,28:18
65,V. Madouas,28:18
66,M. Mohoric,28:19
67,A. Aranburu,28:19
68,G. Muhlberger,28:20
69,R. Stannard,28:20
70,K. Asgreen,28:20
71,T. Skujins,28:21
72,D. Teuns,28:27
73,N. Oliveira,28:27
74,Q. Simmons,28:28
75,J. Narvaez,28:28
76,G. Thomas,28:28
77,M. Valgren,28:29
78,C. Swift,28:32
79,E. Costiou,28:32
80,J. Abrahamsen,28:35
81,I. Romeo Abad,28:35
82,M. Le Berre,28:35
83,N. Politt,28:36
84,H. Page,28:38
85,M. Skjelmose,28:41
86,L. Barre,28:42
87,B. Van Moer,28:42
88,M. Woods,28:43
89,C. Russo,28:44
90,S. Grignard,28:47
91,E. Buchmann,28:48
92,P. Bittner,28:48
93,S. Dillier,28:51
94,S. Cras,28:51
95,P. Sivakov,28:53
96,M. Burgaudeau,28:53
97,M. Van Dijke,28:55
98,A. Turgis,28:57
99,A. Leknessund,28:57
100,K. Neilands,28:57
101,B. Thomas,28:59
102,M. Teunissen,29:02
103,J. Stuyven,29:02
104,C. Barthe,29:02
105,E. Affini,29:03
106,T. Lund Andresen,29:04
107,M. Van Der Poel,29:04
108,P. Eenkhoorn,29:05
109,T. Naberman,29:05
110,M. Louvel,29:06
111,T. Benoot,29:07
112,C. Scotson,29:08
113,L. Pithie,29:08
114,O. Naesen,29:09
115,P. Castrillo Zapater,29:10
116,R. Van Sintmaartensdijk,29:12
117,J. Milan,29:13
118,L. Dubbridge,29:15
119,V. Albanese,29:16
120,I. Garcia Cortina,29:16
121,Y. Fedorov,29:16
122,M. Haller,29:17
123,R. Garcia Pierna,29:18
124,A. Capiot,29:20
125,S. Flynn,29:21
126,M. Trentin,29:22
127,M. Hirschi,29:24
128,A. Johannessen,29:26
129,S. Consonni,29:27
130,B. Tronchon,29:28
131,D. Van Poppel,29:28
132,N. Markl,29:29
133,L. Askey,29:30
134,A. Laurance,29:31
135,P. Ackermann,29:31
136,P. Penhoet,29:31
137,A. Dainese,29:33
138,J. Meeus,29:34
139,D. Ballerini,29:37
140,J. Stewart,29:37
141,T. Nys,29:39
142,S. Watson,29:39
143,L. Rex,29:40
144,M. Hoelgaard,29:40
145,S. Edvardsen-Fredheim,29:40
146,J. Rickaert,29:41
147,J. Drizners,29:44
148,E. Theuns,29:46
149,G. Moscon,29:48
150,V. Campennaerts,29:48
151,M. Cort Nielsen,29:48
152,B. Coquard,29:51
153,G. Vermeersch,29:52
154,K. Gradek,29:57
155,P. Bauhaus,30:01
156,M. Vercher,30:01
157,B. Van Lerberghe,30:02
158,A. Renard,30:03
159,A. De Lie,30:04
160,E. Sepulveda,30:12
161,D. Groenwegen,30:15
162,A. Delettre,30:16
163,M. Mayrhofer,30:17
164,F. Lienhard,30:31
165,G. Boivin,30:35
166,M. Schmid,30:36
167,B. Girmay,30:54
168,A. Demare,30:59
169,E. Reinders,31:10
170,T. Merlier,31:27
171,L. Mezgec,31:28
